Year,CEPCI_Predicted,CEPCI_Lower,CEPCI_Upper,Prophet_Forecast,GPR_Adjustment
2024,814.4305437313901,762.8506515475035,867.9538911997173,814.4165964126464,0.013947318743742047
2025,864.1117442527916,807.8293285120503,919.1471522881399,864.0971190442825,0.014625208509021865
2026,914.0345226420988,840.4095620637065,989.9216815903656,914.0198836542769,0.014638987821803713
2027,964.0941820434003,860.7619153104168,1071.0927341080014,964.0795427911457,0.014639252254628752
2028,972.5864917542802,823.0987153034822,1113.4307108847458,972.5718524971365,0.014639257143696497
2029,1024.1503628636117,836.3170995438644,1214.4970348013999,1024.13572360638,0.014639257231760693
2030,1075.8327777300563,841.1409613697575,1307.2068395214585,1075.818138472823,0.014639257233316598
2031,1127.5262466129848,842.0463755638964,1417.8483486342539,1127.5116073557515,0.014639257233343682
2032,1130.7417478390003,798.3786881174173,1475.9128193716965,1130.727108581767,0.014639257233344147
2033,1184.1889674255276,783.7139287570791,1589.4918574567562,1184.1743281682943,0.014639257233344156
2034,1237.6310325488648,762.8991540077776,1719.8403398778528,1237.6163932916315,0.014639257233344156
2035,1290.958311177426,740.2136287538564,1845.5860150360952,1290.9436719201926,0.014639257233344156
2036,1288.8970039233282,694.8260339417683,1881.0525820102691,1288.8823646660949,0.014639257233344156
2037,1344.2275719873765,659.3116450171657,2010.4177605479088,1344.2129327301432,0.014639257233344156
2038,1399.4292873673228,652.1241481517117,2160.314442922972,1399.4146481100895,0.014639257233344156
2039,1454.3903757417536,599.6807666542715,2290.366249129202,1454.3757364845203,0.014639257233344156
2040,1447.0522600077907,558.7456535965565,2343.4084905673085,1447.0376207505574,0.014639257233344156
2041,1504.2661765495798,538.8484978067223,2485.640312499548,1504.2515372923465,0.014639257233344156
2042,1561.2275421857826,498.295080521877,2649.93061373326,1561.2129029285493,0.014639257233344156
2043,1617.8224403064648,505.0601918668699,2793.8119002177673,1617.8078010492316,0.014639257233344156
2044,1605.2075160925874,433.0460857532248,2820.7322217252276,1605.1928768353541,0.014639257233344156
2045,1664.304781111515,385.0036395820506,2972.593299781119,1664.2901418542817,0.014639257233344156
2046,1723.0257970043576,328.6990146506227,3149.29955413902,1723.0111577471243,0.014639257233344156
2047,1781.2545048708919,294.6628797022165,3328.5281742393154,1781.2398656136586,0.014639257233344156
2048,1763.3627721769114,243.43654997013863,3369.3813451073142,1763.3481329196782,0.014639257233344156
2049,1824.3433856733343,189.06018527035965,3550.340513934216,1824.328746416101,0.014639257233344156
2050,1884.8240518229954,149.67682360548196,3721.6359560249207,1884.8094125657622,0.014639257233344156
2051,1944.6865694352175,75.08344299822532,3908.911693524509,1944.6719301779842,0.014639257233344156
2052,1921.5180282612275,5.440425419176911,3932.7265320183947,1921.5033890039942,0.014639257233344156
2053,1984.3819902354996,-45.30071356782549,4114.331951491892,1984.3673509782664,0.014639257233344156
2054,2046.6223066417667,-106.48919036685609,4343.305635853771,2046.6076673845334,0.014639257233344156
2055,2108.1186339996675,-187.94632297352337,4536.027455882061,2108.103994742434,0.014639257233344156
2056,2079.6732843457444,-294.9502776766533,4527.939037492227,2079.658645088511,0.014639257233344156
2057,2144.420594797672,-433.94204400308416,4766.100967999551,2144.4059555404388,0.014639257233344156
2058,2208.4205614600487,-570.1265391890275,4958.671989328757,2208.4059222028154,0.014639257233344156
2059,2271.550698564427,-657.6455270934782,5143.10381753833,2271.5360593071937,0.014639257233344156
2060,2237.828540430478,-698.3275438437176,5119.238508728637,2237.8139011732446,0.014639257233344156
